title,description,subjects,subject_places,subject_people,subject_times,first_publish_date,author_keys,latest_revision,clean_description,cluster
The man called Noon,"In one swift moment, a fall wiped away his memory. All he knew for certain was that someone wanted him dead--and that he had better learn why. But everywhere he turned there seemed to be more questions--or people too willing to hide the truth behind a smoke screen of lies. He had only the name he had been told was his own, his mysterious skill with a gun, and a link to a half million dollars' worth of buried gold as evidence of his past life. Was the treasure his? Was he a thief? A killer? He didn't have the answers, but he needed them soon. Because what he still didn't know about himself, others did--and if he didn't unlock the secret of his past, he wasn't going to have much of a future.From the Paperback edition.","['Amnesiacs', 'Fiction', 'Fiction in English', 'Western', 'Fiction, westerns', 'Large type books']",,,,,['OL19482A'],10,in one swift moment a fall wiped away his memory all he knew for certain was that someone wanted him deadand that he had better learn why but everywhere he turned there seemed to be more questionsor people too willing to hide the truth behind a smoke screen of lies he had only the name he had been told was his own his mysterious skill with a gun and a link to a half million dollars worth of buried gold as evidence of his past life was the treasure his was he a thief a killer he didnt have the answers but he needed them soon because what he still didnt know about himself others didand if he didnt unlock the secret of his past he wasnt going to have much of a futurefrom the paperback edition,6
Old Christmas,"There is nothing in England that exercises a more delightful spell over my imagination than the lingerings of the holiday customs and rural games of former times.  They recall the pictures my fancy used to draw in the May morning of life, when as yet I only knew the world through books, and believed it to be all that poets had painted it; and they bring with them the flavour of those honest days of yore, in which, perhaps with equal fallacy, I am apt to think the world was more home-bred, social, and joyous than at present.","['American Christmas stories', 'Christmas', 'Christmas stories', 'Classic Literature', 'Fiction', 'Polyamine', 'Polyamines', 'Carcinogenesis', 'Polyamines in the body', 'Kongress', 'Pathophysiology', 'Krebs', 'Neoplasms', 'Stoffwechsel', 'Metabolism', 'Aufsatzsammlung', 'American fiction (fictional works by one author)', 'Fiction, christian, collections & anthologies', 'American literature', 'Country life', 'Privately printed books', 'Specimens', 'Gift books']",['England'],,,,['OL19725A'],11,there is nothing in england that exercises a more delightful spell over my imagination than the lingerings of the holiday customs and rural games of former times they recall the pictures my fancy used to draw in the may morning of life when as yet i only knew the world through books and believed it to be all that poets had painted it and they bring with them the flavour of those honest days of yore in which perhaps with equal fallacy i am apt to think the world was more homebred social and joyous than at present,3
One Duck Stuck,"In this counting book, increasingly larger groups of animals try to help a duck that is stuck in the sleepy, slimy marsh.","['Counting', 'Ducks', 'Fiction', 'Marsh animals', 'Stories in rhyme', 'Canards', 'Littérature de jeunesse anglaise', 'Histoires rimées', 'Calcul', 'Faune des marais', 'Ouvrages illustrés', ""Children's fiction"", 'Ducks, fiction', 'Counting books', 'Counting & Numbers', 'Animals', 'JUVENILE FICTION', 'Farm Animals', 'Ducks, Geese', 'Concepts', 'Animals, fiction']",,,,,['OL30952A'],11,in this counting book increasingly larger groups of animals try to help a duck that is stuck in the sleepy slimy marsh,4
Like likes like,Two cats fall in love in a rose garden.,"['Cats', 'Fiction', 'Juvenile fiction']",,,,,['OL28855A'],5,two cats fall in love in a rose garden,7
The Celestine Prophecy - An Adventure,"Are three decades of interest in modern physics, ecology, mystical religion and interpersonal psychology finally synthesizing into a new spiritual ""common sense""? Are we now beginning to live this new common sense? Can it become the dominant paradigm of the next century?

When James Redfield first published this extraordinary book -- an adventure in pursuit of a spiritual mystery -- people picked it up, read it, and were stunned by its contents. They told their friends about it, and friends in turn told their friends. By word of mouth alone, news of this magical, moving work spread throughout the country, until -- within months of its first printing -- over hundred thousand readers had become excited by its predictions and touched by the way it made sense of what was happening in their lives.

Now you can discover for yourself the insights, the vision, and the uncanny accuracy of ""The Celestine Prophecy"". A parable filled with vital truth that reads like a gripping adventure-tale, it begins with the disappearance of an ancient Peruvian manuscript. Although few Westerners know of its existence and a government wants to suppress it, this precious document contains an important secret: the 9 insights the human race is predicted to grasp as we enter an era of true spiritual awareness.

To find the manuscript -- and its hidden treasures -- you will join one person's search. It is a quest that will carry you high into the Andes mountains, to ancient ruins deep in old-growth forest, and to a startling discovery. You will quickly recognize the truth of the First Insight: in each of our lives occur mysterious coincidences -- sudden, synchronistic events that, once interpreted, lead us into our true destiny.

When you find and understand all 9 of the insights, you will have an exciting new image of human life, and a positive vision of how we will save this planet, its creatures, and its beauty. ""The Celestine Prophecy"" will give you hope…and chills…as you begin to perceive its predictions unfolding all around you in intimate relationships and international affairs. And you will suddenly recognize the quantum leap forward humankind is preparing to make as we approach the new millennium. Important works such as Carlos Castaneda's ""The Teachings of Don Juan"" and the prophecies of Nostradamus have helped prepare the way for the revelations you will find in James Redfield's life-changing words. The time is right to hear them, and to discover the personal journey that is opening in your life.
--jacket


----------
Also contained in:

 - [The Celestine Insights](https://openlibrary.org/works/OL16058012W/The_Celestine_Insights)","['divinity', 'synchronicity', 'reality Maya civilization', 'Incas', 'Adventure stories', 'prophecy', 'parables', 'Action and adventure fiction', 'Aramaic manuscripts', 'Fiction', 'Spiritual life', 'Manuscripts', 'Collectors and collecting', 'Spiritual life in literature', 'Ficción', 'Vida espiritual', 'Coleccionistas y colecciones', 'Manuscritos', 'New Age', 'Literatura', 'Mysticism', 'Romans', 'Collectionneurs et collections', 'Roman', 'Vie spirituelle', 'Manuscrits', 'Millennialism', 'Travel', 'Divination', 'Manucritos', 'Chang pian xiao shuo', 'Fiction, religious', 'Environmental engineering', 'Large type books', 'Fiction, visionary & metaphysical', 'Literature and fiction (general)', 'Parables', '18.06 Anglo-American literature', 'Celestine prophecy (Redfield, James)', 'Fiction, general', 'Redfield, james', 'Manuscripts--collectors and collecting', 'Manuscripts--collectors and collecting--peru--fiction', 'Spiritual life--fiction', 'Manuscripts--collectors and collecting--fiction', 'Ps3568.e3448 c45 1993c', '813/.54']","['Peru', 'Andes Mountains']",,['600 BC'],,['OL34364A'],20,are three decades of interest in modern physics ecology mystical religion and interpersonal psychology finally synthesizing into a new spiritual common sense are we now beginning to live this new common sense can it become the dominant paradigm of the next century when james redfield first published this extraordinary book an adventure in pursuit of a spiritual mystery people picked it up read it and were stunned by its contents they told their friends about it and friends in turn told their friends by word of mouth alone news of this magical moving work spread throughout the country until within months of its first printing over hundred thousand readers had become excited by its predictions and touched by the way it made sense of what was happening in their lives now you can discover for yourself the insights the vision and the uncanny accuracy of the celestine prophecy a parable filled with vital truth that reads like a gripping adventuretale it begins with the disappearance of an ancient peruvian manuscript although few westerners know of its existence and a government wants to suppress it this precious document contains an important secret the 9 insights the human race is predicted to grasp as we enter an era of true spiritual awareness to find the manuscript and its hidden treasures you will join one persons search it is a quest that will carry you high into the andes mountains to ancient ruins deep in oldgrowth forest and to a startling discovery you will quickly recognize the truth of the first insight in each of our lives occur mysterious coincidences sudden synchronistic events that once interpreted lead us into our true destiny when you find and understand all 9 of the insights you will have an exciting new image of human life and a positive vision of how we will save this planet its creatures and its beauty the celestine prophecy will give you hopeand chillsas you begin to perceive its predictions unfolding all around you in intimate relationships and international affairs and you will suddenly recognize the quantum leap forward humankind is preparing to make as we approach the new millennium important works such as carlos castanedas the teachings of don juan and the prophecies of nostradamus have helped prepare the way for the revelations you will find in james redfields lifechanging words the time is right to hear them and to discover the personal journey that is opening in your life jacket also contained in the celestine insightshttpsopenlibraryorgworksol16058012wthe_celestine_insights,4
"Forever and Ever, Amen","A funny, poignant account of a young woman's experiences becoming a Catholic nun during the tumultuous 1960s.  In 1964, Karol Jackowski was an eighteen-year-old girl just out of high school. But while her friends were heading off to college or finding their first jobs, Karol was following a different path. To the surprise of her family and friends, she decided to enter the convent of the Sisters of the Holy Cross in South Bend, Indiana, and spend the next eight years studying to become a Catholic nun.  Those years were a time of enormous change in the country and in the Church. They were times of joy, dedication, and a great deal of fun, set against the Second Vatican Council and the reforms it fostered, many of which remain controversial today. In this playful and candid memoir, Jackowski pulls back the curtain on the mysteries of convent life, as she recounts her rocky transition from worldly teenager to cloistered postulant; the trials she faced in coping with the restrictions of convent life (""nun of this and nun of that""); and the lessons she learned from the elderly nuns she was assigned to, who weren't nearly as pious as people thought. In prose that's as lively, insightful, and wise as she is, the author of Ten Fun Things to do Before You Die brings us a touching and heartfelt memoir of a woman following her true calling.","['Nuns', 'Nonfiction', 'Sisters of the Holy Cross', 'Biography & Autobiography', 'Religion & Spirituality', 'Biography', 'Nuns, biography']",['United States'],['Karol Jackowski'],,,['OL31053A'],7,a funny poignant account of a young womans experiences becoming a catholic nun during the tumultuous 1960s in 1964 karol jackowski was an eighteenyearold girl just out of high school but while her friends were heading off to college or finding their first jobs karol was following a different path to the surprise of her family and friends she decided to enter the convent of the sisters of the holy cross in south bend indiana and spend the next eight years studying to become a catholic nun those years were a time of enormous change in the country and in the church they were times of joy dedication and a great deal of fun set against the second vatican council and the reforms it fostered many of which remain controversial today in this playful and candid memoir jackowski pulls back the curtain on the mysteries of convent life as she recounts her rocky transition from worldly teenager to cloistered postulant the trials she faced in coping with the restrictions of convent life nun of this and nun of that and the lessons she learned from the elderly nuns she was assigned to who werent nearly as pious as people thought in prose thats as lively insightful and wise as she is the author of ten fun things to do before you die brings us a touching and heartfelt memoir of a woman following her true calling,7
On power and ideology,"""One of Noam Chomsky's most accessible books, On Power and Ideology is a product of his 1986 visit to Managua, Nicaragua, for a lecture series at Unversidad Centroamericana. Delivered at the height of U.S. involvement in the Nicaraguan civil war, this succinct series of lectures lays out the parameters of Noam Chomsky's foreign policy analysis""--Page 4 of cover.","['Foreign relations', 'National security', 'United states, foreign relations, central america', 'United states, defenses', 'Relations extérieures', 'Sécurité nationale', 'Diplomatic relations', 'National security, united states', 'Central america, foreign relations, united states', 'United states, foreign relations, 1945-1989']","['United States', 'Central America']",,"['1945-', '1945-1989']",,"['OL31676A', 'OL258619A']",11,one of noam chomskys most accessible books on power and ideology is a product of his 1986 visit to managua nicaragua for a lecture series at unversidad centroamericana delivered at the height of us involvement in the nicaraguan civil war this succinct series of lectures lays out the parameters of noam chomskys foreign policy analysispage 4 of cover,16
Tamil̲ar vaḷartta al̲akuk kalaikaḷ,"Art and architecture of Tamils, in the ancient period.",['Tamil Arts'],,,,,['OL10052A'],3,art and architecture of tamils in the ancient period,14
Wideacre,"Beatrice Lacey, as strong-minded as she is beautiful, refuses to conform to the social customs of her time. Destined to lose her family name and beloved Wideacre estate once she is wed, Beatrice will use any means necessary to protect her ancestral heritage. Seduction, betrayal, even murder — Beatrice's passion is without apology or conscience. ""She is a Lacey of Wideacre,"" her father warns, ""and whatever she does, however she behaves, will always be fitting."" Yet even as Beatrice's scheming seems about to yield her dream, she is haunted by the one living person who knows the extent of her plans...and her capacity for evil.

Sumptuously set in Georgian England, Wideacre is intensely gripping, rich in texture, and full of color and authenticity. It is a saga as irresistible in its singular magic as its heroine.

Editorial Reviews
Publishers Weekly - Publisher's Weekly
Gregory's full-blown first novel is a marvelously assured period piece, an English gothic with narrative verve. Beatrice Lacey loves nothing more than the family estate, Wideacrenot her bluff, hearty father, her weak brother, Harry, or her mother, who can't quite believe mounting evidence that damns her passionate daughter. Foiled in her hunger to own the estate by the 18th century laws of entail, Beatrice plots her father's death, knowing she can twist Harry in any direction she chooses, for her brother harbors a dark, perverted secret. Their incestuous tangle is not broken even by Harry's marriage. And while a bounteous harvest multiplies, no one gainsays the young squire and his sister, the true master of Wideacre. Beatrice marries also, managing to hide the paternity of two children sired by Harry until her increasing greed squeezes the land and its people dry, and the seeds of destruction she has sown come to their awful fruition. Gregory effortlessly breathes color and life into a tale of obsession built around a ruthless, fascinating woman. Doubleday Book Club main selection; Literary Guild alternate; major ad/promo.","['Historical', 'Romance', 'Fiction', 'Gothic', 'England, fiction', 'Fiction, historical, general']",['England'],['Beatrice Lacey'],['1800s'],,['OL31358A'],5,beatrice lacey as strongminded as she is beautiful refuses to conform to the social customs of her time destined to lose her family name and beloved wideacre estate once she is wed beatrice will use any means necessary to protect her ancestral heritage seduction betrayal even murder beatrices passion is without apology or conscience she is a lacey of wideacre her father warns and whatever she does however she behaves will always be fitting yet even as beatrices scheming seems about to yield her dream she is haunted by the one living person who knows the extent of her plansand her capacity for evil sumptuously set in georgian england wideacre is intensely gripping rich in texture and full of color and authenticity it is a saga as irresistible in its singular magic as its heroine editorial reviews publishers weekly publishers weekly gregorys fullblown first novel is a marvelously assured period piece an english gothic with narrative verve beatrice lacey loves nothing more than the family estate wideacrenot her bluff hearty father her weak brother harry or her mother who cant quite believe mounting evidence that damns her passionate daughter foiled in her hunger to own the estate by the 18th century laws of entail beatrice plots her fathers death knowing she can twist harry in any direction she chooses for her brother harbors a dark perverted secret their incestuous tangle is not broken even by harrys marriage and while a bounteous harvest multiplies no one gainsays the young squire and his sister the true master of wideacre beatrice marries also managing to hide the paternity of two children sired by harry until her increasing greed squeezes the land and its people dry and the seeds of destruction she has sown come to their awful fruition gregory effortlessly breathes color and life into a tale of obsession built around a ruthless fascinating woman doubleday book club main selection literary guild alternate major adpromo,7
Poems for youth,"A collection of seventy-eight poems which highlight the seasons, the passage of time, and living life itself and which were written by one of America's foremost poets.","[""Children's poetry, American"", 'American poetry', ""Children's poetry"", 'Poetry (poetic works by one author)', 'Poetry']",,,,,['OL19512A'],12,a collection of seventyeight poems which highlight the seasons the passage of time and living life itself and which were written by one of americas foremost poets,12
Sundiver,"No species has ever reached for the stars without the guidance of a patron - except perhaps mankind.
Did some mysterious race begin the uplift of humanity aeons ago?

Circling the sun, under the caverns of Mercury, Expedition Sundiver prepares for the most momentous voyage in history - a journey into the boiling inferno of the sun.","['Uplift', 'Fiction, general', 'Fiction', 'General', 'Life on other planets', 'Lectures et morceaux choisis', 'Science-fiction américaine', 'Anglais (langue)', 'Voyages and travels', 'Science fiction']",,,,,"['OL34888A', 'OL761440A']",9,no species has ever reached for the stars without the guidance of a patron except perhaps mankind did some mysterious race begin the uplift of humanity aeons ago circling the sun under the caverns of mercury expedition sundiver prepares for the most momentous voyage in history a journey into the boiling inferno of the sun,0
The Hélène Cixous reader,"""This is the first truly representative selection of texts by Helene Cixous. The substantial pieces range broadly across her entire oeuvre, and include essays, works of fiction, lectures and drama. Arranged helpfully in chronological order, the extracts span twenty years of intellectual thought and demonstrate clearly the development of one of the most creative and brilliant minds of the twentieth century."" ""The editor's introductions to each piece will be especially helpful to readers new to the writings of Helene Cixous.""--BOOK JACKET.","['Cixous, helene, 1937-', 'French literature', 'Romance-language literature', 'Anthologies', 'LITERARY CRITICISM', 'European', 'French']",,,,,['OL25130A'],6,this is the first truly representative selection of texts by helene cixous the substantial pieces range broadly across her entire oeuvre and include essays works of fiction lectures and drama arranged helpfully in chronological order the extracts span twenty years of intellectual thought and demonstrate clearly the development of one of the most creative and brilliant minds of the twentieth century the editors introductions to each piece will be especially helpful to readers new to the writings of helene cixousbook jacket,4
Get Ready,Year 1,,,,,,['OL4753461A'],3,year 1,14
The Complete Robot,"The complete collection of Isaac Asimov’s classic Robot stories.

In these stories, Asimov creates the Three Laws of Robotics and ushers in the Robot Age – when Earth is ruled by master-machines and when robots are more human than mankind.

The Complete Robot is the ultimate collection of timeless, amazing and amusing robot short stories from the greatest science fiction writer of all time, offering golden insights into robot thought processes. Asimov’s Three Laws of Robotics were programmed into real computers thirty years ago at the Massachusetts Institute of Technology – with surprising results. Readers of today still have many surprises in store…

A Boy's Best Friend
Sally
Someday
Some Immobile Robots
Point of View
Think!
True Love
Some Metallic Robots
Robot AL-76 Goes Astray
Victory Unintentional
Stranger in Paradise
Light Verse
Segregationist
[Robbie](https://openlibrary.org/works/OL46260W)
Some Humanoid Robots
Let's Get Together
Mirror Image
The Tercentenary Incident
Powell and Donovan
First Law
Runaround
Reason
Catch That Rabbit
Susan Calvin
Liar!
Satisfaction Guaranteed
Lenny
Galley Slave
Little Lost Robot
Risk
Escape!
Evidence
The Evitable Conflict
Feminine Intuition
Two Climaxes
—That Thou Art Mindful of Him!
The Bicentennial Man","['American Science fiction', 'English language', 'Fiction', 'Robots', 'Text-books for foreign speakers', 'Text-booksfor foreign speakers', 'Machine theory', 'Translations into German', 'Fiction, science fiction, general', 'American literature', 'Robots in fiction', 'Science fiction', ""Children's fiction"", 'Ke xue huan xiang xiao shuo', 'Xiao shuo ji', 'Duan pian xiao shuo']","['New York City', 'Museum of Science and Industry', 'Finmark Robot Corporation', 'Xian dai']","['Robbie', 'Gloria Weston', 'Mr. Weston']","['1982', 'Meiguo']",,['OL34221A'],27,the complete collection of isaac asimovs classic robot stories in these stories asimov creates the three laws of robotics and ushers in the robot age when earth is ruled by mastermachines and when robots are more human than mankind the complete robot is the ultimate collection of timeless amazing and amusing robot short stories from the greatest science fiction writer of all time offering golden insights into robot thought processes asimovs three laws of robotics were programmed into real computers thirty years ago at the massachusetts institute of technology with surprising results readers of today still have many surprises in store a boys best friend sally someday some immobile robots point of view think true love some metallic robots robot al76 goes astray victory unintentional stranger in paradise light verse segregationist robbiehttpsopenlibraryorgworksol46260w some humanoid robots lets get together mirror image the tercentenary incident powell and donovan first law runaround reason catch that rabbit susan calvin liar satisfaction guaranteed lenny galley slave little lost robot risk escape evidence the evitable conflict feminine intuition two climaxes that thou art mindful of him the bicentennial man,12
"Lucy and Tom's 1, 2, 3","Tom and Lucy find many things to count as they get dressed, eat breakfast, help Mom and Dad, play with their toys, and visit Granny on her birthday.","['Counting', 'Brothers and sisters', 'Fiction', 'Boys, fiction', 'Girls, fiction', ""Children's fiction""]",,,,,['OL28522A'],9,tom and lucy find many things to count as they get dressed eat breakfast help mom and dad play with their toys and visit granny on her birthday,14
German-American names,"A dictionary of German names, the derivations, and meanings.","['German language', 'German', 'Dictionaries', 'United States', 'Etymology', 'Names', 'Names, Personal', 'Personal Names']",['United States'],,,,['OL28975A'],7,a dictionary of german names the derivations and meanings,14
The War On The Bill Of Rights - And The Gathering Resistance,The veteran defender of civil liberties discusses the post-September 11th climate as it relates to the USA Patriot Act and the Act's subversion of constitutional rights.,"['Politics and government', 'Dissenters', 'Resistance to Government', 'Civil rights', 'War on Terrorism, 2001-', 'War on Terrorism, 2001-2009', 'War on Terrorism (2001-2009) fast (OCoLC)fst01754980', 'Civil rights, united states', 'Government, resistance to', 'United states, politics and government, 2001-2009']",['United States'],,"['2001-2009', '2001-']",,['OL20016A'],9,the veteran defender of civil liberties discusses the postseptember 11th climate as it relates to the usa patriot act and the acts subversion of constitutional rights,0
Works (Awakening / Beyond the Bayou / Desiree's Baby / Kiss / Locket / Ma'ame Pelagie / Pair of Silk Stockings / Reflection / Respectable Woman),"Contains:
[The Awakening][1]
[Beyond the Bayou][2]
Ma'ame Pelagie
[Desiree's Baby][3]
A Respectable Woman
The Kiss
[A Pair of Silk Stockings][4]
The Locket
A Reflection


  [1]: https://openlibrary.org/works/OL15841605W/The_Awakening
  [2]: https://openlibrary.org/works/OL14943640W
  [3]: https://openlibrary.org/works/OL20078777W
  [4]: https://openlibrary.org/works/OL20078930W","['impulse', 'responsibility', 'short story', 'short stories', 'miscegenation', 'Louisiana Creoles', 'quadroons', 'racism', 'Social life and customs', 'Fiction', 'Modern Literature', 'American literature', 'feminist literature', 'feminist fiction', 'manners and customs', 'literary fiction', 'Adultery in fiction', 'Women in fiction', 'Adultery', 'Women', 'Self-actualization (Psychology)', 'Married women', 'Married women in fiction', 'Psychological fiction', 'Psychology', 'Classic Literature', 'Man-woman relationships', 'Social conditions', 'Criticism and interpretation', 'Literary Anthologies', 'social life & customs', 'Juvenile audience', 'American fiction (fictional works by one author)', 'Fiction, psychological', 'Louisiana, fiction', 'Married people, fiction', 'Psychological', 'New orleans (la.), fiction', 'Fiction, short stories (single author)']","['Louisiana', 'L’Abri', 'New Orleans', 'Grand Isle', 'Chênière Caminada', 'Gulf of Mexico', 'Mexico', 'New York City', ""La Folle's cabin"", 'Bellissime', 'New Orleans (La.)']","['Mrs. Sommers', 'Armand Aubigny', 'Désirée', 'Madame Valmont', 'Sandrine', 'La Blanche', 'Jacqueline', 'French', 'P’tit Maître', ""Old Mis'"", 'Cheri', 'Doctor Bonfils', 'Tante', 'Chéri’s mother', 'Edna Pontellier', 'Léonce Pontellier', 'Etienne Pontellier', 'Raoul Pontellier', 'Madame Aline Lebrun', 'Robert Lebrun', 'Victor Lebrun', 'Mariequita', 'Adèle Ratignolle', 'Alphonse Ratignolle', 'Mademoiselle Reisz', 'Farival twins', 'Monsieur Farival', 'Beaudelet', 'Madame Antoine', 'Toni Antoine', 'Old Celestine', 'Ellen Joe', 'Doctor Mandelet', 'Alcée Arobin', 'Mrs. Highcamp', 'James Highcamp', 'Mrs. Merriman', 'Miss Mayblunt', 'Gouvernail', 'Madame Pontellier']","['19th century', 'Antebellum era']",,['OL35183A'],45,contains the awakening1 beyond the bayou2 maame pelagie desirees baby3 a respectable woman the kiss a pair of silk stockings4 the locket a reflection 1 httpsopenlibraryorgworksol15841605wthe_awakening 2 httpsopenlibraryorgworksol14943640w 3 httpsopenlibraryorgworksol20078777w 4 httpsopenlibraryorgworksol20078930w,2
The joyful Christian,"According to C.S. Lewis, ""joy is the serious business of heaven,"" and attaining that joy is the business of the Christian. Lewis reveals his own approach to Christianity and faith in the devotional readings of The Joyful Christian. Ranging from the intrinsically spiritual -- the understanding of the nature of prayer, good works, or the incarnation -- to the very worldly -- the truth about fascism, psychoanalysis, or morality, The Joyful Christian offers inspiration to everyone who hungers and thirsts after joy. - Back cover.","['Church of England', 'Christian life', 'Theology', 'Anglican authors', 'History', 'Catholic authors', 'Large type books']",,,['20th century'],,['OL31574A'],10,according to cs lewis joy is the serious business of heaven and attaining that joy is the business of the christian lewis reveals his own approach to christianity and faith in the devotional readings of the joyful christian ranging from the intrinsically spiritual the understanding of the nature of prayer good works or the incarnation to the very worldly the truth about fascism psychoanalysis or morality the joyful christian offers inspiration to everyone who hungers and thirsts after joy back cover,4
Western Civilization,"This best-selling text, Western Civilization, has helped over one million students learn about the present by exploring the past. Jack Spielvogel's engaging, chronological narrative weaves the political, economic, social, religious, intellectual, cultural, and military aspects of history into a gripping story that is as memorable as it is instructive. Each chapter offers a substantial introduction and conclusion, providing students a context for these disparate themes. The clear narrative of a single gifted author makes it easy for students to follow the story of Western civilization. Spielvogel gives the book depth by including over 150 maps and excerpts of over 200 primary sources -- including official documents, poems, and songs -- that enliven the past while introducing students to source material that forms the basis of historical scholarship. - Publisher.","['Civilization, Western', 'History', 'Textbooks', 'Western Civilization', 'Civilization, Western -- History', 'Problems, exercises', 'Civilization, western, history', 'Civilization, western--history', 'Civilization, western--history--textbooks', 'Civilization, western', 'Civilización occidental--historia', 'Civilización occidental--historia--libros de texto', 'Cb245 .s63 2006', '909/.09821']",,,,,['OL28771A'],18,this bestselling text western civilization has helped over one million students learn about the present by exploring the past jack spielvogels engaging chronological narrative weaves the political economic social religious intellectual cultural and military aspects of history into a gripping story that is as memorable as it is instructive each chapter offers a substantial introduction and conclusion providing students a context for these disparate themes the clear narrative of a single gifted author makes it easy for students to follow the story of western civilization spielvogel gives the book depth by including over 150 maps and excerpts of over 200 primary sources including official documents poems and songs that enliven the past while introducing students to source material that forms the basis of historical scholarship publisher,4
Nebraska,"Introduces the geography, history, people, industries, and other highlights of Nebraska.","['Juvenile literature', 'Nebraska, juvenile literature', 'Nebraska', 'Ouvrages pour la jeunesse']",['Nebraska'],,,,['OL40197A'],8,introduces the geography history people industries and other highlights of nebraska,19
Little Monster at home,A little monster describes his house and some of his family's activities.,"['Fiction', 'Monsters', 'Family life', 'Dwellings', 'Readers', 'Juvenile fiction', ""Children's fiction"", 'Houses, fiction', 'Family life, fiction', 'Monsters, fiction']",,,['1950-'],,['OL39750A'],11,a little monster describes his house and some of his familys activities,14
Kailāsaṃ nenapu mattu Kailāsa kathana,"Author's reminiscences about Ṭī. Pi. Kailāsaṃ, 1885-1948, Kannada author.",['Criticism and interpretation'],,"['Kailāsaṃ, Ṭī Pi. (1885-1948)', 'Kailāsaṃ, Ṭī. Pi. (1909-)']",,,['OL12230A'],6,authors reminiscences about ti pi kailasam 18851948 kannada author,14
Christianity and the Social Crisis in the 21st Century,"In the wake of the success of God's Politics, comes an anniversary edition of Walter Rauschenbusch's Christianity and the Social Crisis, a book which outsold every other religious volume for three years and which has become a classic and mainstay for any Christian seriously interested in social justice.PBS has named Rauschenbusch one of the most influential American religious leaders in the last 100 years, and Christianity Today named this book one of the top books of the century that have shaped contemporary religious thought. So it seems fitting on the 100th anniversary of the publication of Christianity and the Social Crisis that Rauschenbush's great–grandson should bring this classic back into print, adding a response to each chapter by a well–known contemporary author such as Jim Wallis, Tony Camplo, Cornel West, Richard Rorty, Stanley Hauerwas, and others.Between 1886 and 1897, he was pastor of the Second German Baptist Church in the ""Hell's Kitchen"" area of New York City, an area of extreme poverty. As he witnessed massive economic insecurity, he began to believe that Christianity must address the physical as well as the spiritual needs of humankind. Rauschenbusch saw it as his duty as a minister and student of Christ to act with love by trying to improve social conditions.This, in fact, inspired leaders such as Reinhold and Richard Niebuhr, Rev. Martin Luther King, Jr., Mahatma Ghandi and Bishop Desmond Tutu. ""Christianity is in its nature revolutionary"" Rauschenbusch wrote, and the significance of his work is that it spoke of society's responsibility to the poor and downtrodden.In the present atmosphere of heightened debate and even antagonism between political and religious viewpoints Christianity and the Social Crisis will again be a book that will provoke intense responses by people on every side. As the disparity between the rich and the poor in America continues to widen in the 21st century, the book's explication of the radical social message of Jesus is as applicable today as it was 100 years ago.","['Ethics', 'Nonfiction', 'Politics', 'Christian sociology', 'Social ethics', 'Church and social problems', 'Church and social problems, united states']",,,,,['OL21395A'],7,in the wake of the success of gods politics comes an anniversary edition of walter rauschenbuschs christianity and the social crisis a book which outsold every other religious volume for three years and which has become a classic and mainstay for any christian seriously interested in social justicepbs has named rauschenbusch one of the most influential american religious leaders in the last 100 years and christianity today named this book one of the top books of the century that have shaped contemporary religious thought so it seems fitting on the 100th anniversary of the publication of christianity and the social crisis that rauschenbushs greatgrandson should bring this classic back into print adding a response to each chapter by a wellknown contemporary author such as jim wallis tony camplo cornel west richard rorty stanley hauerwas and othersbetween 1886 and 1897 he was pastor of the second german baptist church in the hells kitchen area of new york city an area of extreme poverty as he witnessed massive economic insecurity he began to believe that christianity must address the physical as well as the spiritual needs of humankind rauschenbusch saw it as his duty as a minister and student of christ to act with love by trying to improve social conditionsthis in fact inspired leaders such as reinhold and richard niebuhr rev martin luther king jr mahatma ghandi and bishop desmond tutu christianity is in its nature revolutionary rauschenbusch wrote and the significance of his work is that it spoke of societys responsibility to the poor and downtroddenin the present atmosphere of heightened debate and even antagonism between political and religious viewpoints christianity and the social crisis will again be a book that will provoke intense responses by people on every side as the disparity between the rich and the poor in america continues to widen in the 21st century the books explication of the radical social message of jesus is as applicable today as it was 100 years ago,4
Pull My Daisy,"Pull My Daisy is a short film that typifies the Beat Generation. Directed by Robert Frank and Alfred Leslie, Daisy was adapted by Jack Kerouac from the third act of his play, Beat Generation; Kerouac also provided improvised narration. It starred poets Allen Ginsberg, Peter Orlovsky and Gregory Corso. The book is an illustrated transcript of the film's narration.","['Beat Generation', 'Motion Picture', 'Experimental', 'Motion pictures', 'Beats (Persons)', 'Pull my daisy (Motion picture)', 'Beat generation', 'Pull my daisy']",,"['Robert Frank', 'Jack Kerouac']",['1959'],,"['OL21491A', 'OL2640123A', 'OL8317254A']",8,pull my daisy is a short film that typifies the beat generation directed by robert frank and alfred leslie daisy was adapted by jack kerouac from the third act of his play beat generation kerouac also provided improvised narration it starred poets allen ginsberg peter orlovsky and gregory corso the book is an illustrated transcript of the films narration,4
